ID;Ingrediente;Quantities (gr);Unit Price ($/gr);Calorias kcal/gr;39;;;1;;;;2;;;;3;;;;4;;;;5;;;;6;;;;7;;;;8;;;;9;;;;10;;;;11;;
1;lentils;600;4;3,2;;;;Vegan Pasta;;FOOD;;Mashed Potatoes, Chicken and Broccoli;;FOOD;;Hot Spinach Cream;;FOOD;;oreo milkshake;;DRINKS;;juice fruit (water);;DRINKS;;juice fruit (milk);;DRINKS;;margarita;;DRINKS;;tequila sunrise;;DRINKS; ;oreo cheesecake;;DESSERT;;lemon cake;;DESSERT;;passion fruit cake;;DESSERT
2;olive oil;1000;2;9;;;;ID;Quantities (gr);Ingredients;;ID;Quantities (gr);Ingredients;;ID;Quantities (gr);Ingredients;;ID;Quantities (gr);Ingredients;;ID;Quantities (gr);Ingredients;;ID;Quantities (gr);Ingredients;;ID;Quantities (gr);Ingredients;;ID;Quantities (gr);Ingredients;;ID;Quantities (gr);Ingredients;;ID;Quantities (gr);Ingredients;;ID;Quantities (gr);Ingredients
3;onions;1000;8;0,5;;;;1;200;lentils;;13;100;scallion;;16;200;milk cream;;21;100;vanilla ice cream;;29;50;fruit ;;29;50;fruit ;;29;60;fruit ;;27;150;orange;;24;200;oreo cookies ;;35;77;crackers;;35;77;crackers
4;celery;1000;6;0,12;;;;2;50;olive oil;;14;20;parsley;;20;500;spinach;;22;75;milk;;38;50;water;;22;50;milk;;37;60;tequila;;37;15;tequila;;15;80;butter;;36;140;condensed milk;;15;56;butter
5;carrots;2000;9;0,44;;;;3;200;onions;;15;50;butter;;3;150;onions;;24;114;oreo cookies ;;25;10;sugar;;25;10;sugar;;;;;;30;20;granada;;23;250;cheese cream;;23;240;cheese cream;;36;140;condensed milk
6;tomatoes;3000;9;0,2;;;;4;100;celery;;16;50;milk cream;;18;50;garlic;;16;200;milk cream;;;;;;;;;;;;;;32;20;lemon;;16;200;milk cream;;33;20;lemon;;16;120;milk cream
7;red wine;2250;3;0,75;;;;5;200;carrots;;17;200;chicken;;2;20;olive oil;;25;20;sugar;;;;;;;;;;;;;;;;;;25;100;sugar;;;;;;32;230;passion fruit
8;oregano;100;1;3,35;;;;6;300;tomatoes;;2;20;olive oil;;;;;;26;10;vanilla;;;;;;;;;;;;;;;;;;34;7;unflavored jelly;;;;;;34;14;unflavored jelly
9;spaghetti;4000;2;1,57;;;;7;150;red wine;;18;30;garlic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;salt;1000;10;0;;;;8;20;oregano;;19;150;broccoli;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;pepper;1000;6;2,55;;;;9;500;spaghetti;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;cheese;4000;2;0,98;;;;10;10;salt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;scallion;500;6;0,67;;;;11;10;pepper;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;parsley;100;9;0,36;;;;12;150;cheese;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;butter;500;5;7,42;;;;14;20;parsley;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;milk cream;500;1;2,87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;chicken;4000;9;1,17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
